A very nice terminal  recent  modern  comfortable. The trip by bus to Tirana (there are no train  tram or metro) is less comfortable and can take from half an hour to nearly one hour according to traffic  which is hectic in town at the rush hours.,tia
Lounge was closed without prior notice neither from the airline (Lufthansa)  airport  lounge or PriorityPass. Very chaotic and unorganized airport.,tia
In 2023 still not admit the digital boarding pass. You have to go to the fate to print the boarding pass,tia
Tirana's airport is way too small compared to the number of visitors  alltough you can spot some nice plane such as Embraers  CRJ’s etc.. 3/5,tia
The immigration staff are rude and impersonal. Atm's charge a small fortune to withdraw cash however the exchange rate is extremely good at the kiosk! Wifi is awful and rarely works.,tia
No on-line check-in for BA services so had to use check-in desk. Security was an absolute nightmare with very long queues and fast track suspended because security was so busy – just when you actually need fast track. Lounge very hot and fairly poor selection of food. Boarding by bus only.,tia
We asked the lady at the check in for a window like 5F and she gave it to me. Than at the security they controlled us and no problems. We ate something at the Bar there waiting for the Boarding to start. We went at the airplane with busses. Small but a modern and nice airport. Overall rating 10/10,tia
Пассажиров на рейс в Киев не пускали в аэропорт co всеми  они должны были стоять на улице.,tia
The first international airport where you can not pay with credit card  only with cash. If you do not have albanian lek  you can pay usa dollar as well  just charge more. Terrible airport!,tia
Queues were rather long  which meant that there was a lot of waiting around. However  the staff were friendly and there were plenty of seats to sit in while we waited for the line to shorten so that we could board.,tia
This time around  the highlight of Tirana was the speed of security. There were many personnel there standing by to assist us and make sure that everything moved along smoothly. Previously  there have been long waits due to understaffing and a lack of efficiency; there was none of that this time around. Check-In  however  was understaffed - there need to be more people to be on the desks. WiFi? What WiFi?,tia
Check-In was extremely crowded. There were three lines open for our flight  and yet the queues were still much longer than normal. WiFi sucked  as usual  so I set up and used a mobile hotspot. The lounge was comfortable enough  and the prices in the Duty Free were as they are elsewhere in Tirane. We had to pay 400 lek for an orange juice though  which was way too pricey  despite how delicious it was.,tia
The only chance to have something to drink or eat before your flight after passing the security check are two coffees with higher prices then you would pay within Tirana city. WiFi is some kind of mystery  sometimes you have some connection and then it strikes again.,tia
First time ever everybody had to go though costums with x-ray and full programme. Maybe because it was the flight from Turkey. Sadly after 19h there is no public bus to the city anymore  so you are forced to take a cab,tia
There is some wifi avialable  but somehow it has no connection to the internet. Within "rush hour" the que for Security check can take you 15-20 minutes.,tia
Immigration takes ages. They have some capacity problems during "rush-hour". On the other hand you don't have to wait for your luggage anymore.Only a few steps and you are in the bus to the City,tia
Its a small airport. Its very new and fresh too. Its very easy to find your gates and check in desks. Crew is helpful. You always board by bus.,tia
Is very simple small and practical . I recommend it to visit you once in life and also to have the experience ... Its very good airport :) ............................. .......... ...c yx a as as as,tia
Its a new airport and one of the biggest on the Balkan. I like it. It's preety nice. And the people are very polite :) To bad that there is not an airline based in albania. I hoper they make the airport bigger. It's almost to small..,tia
♥,tia
Its a new airport  i like it but it has many delays  you can pass your time at Duty Free or drinking a coffee but there are not many shops. Getting to the airport its very hard you should find a taxi and the prizes are very high and the bus every hour is very hard to find. WI-FI is good,tia
Very stupid place.After the bus many peoples wait on outside of airport . Hundreds of passangers ( and we ) expected 2 hours for passport control and I cant see any airport personels for ask why we are waiting ...I hope  I never fly to Albania,tia
The new airport is built by the people who did KLIA and is fresh and modern. An immense improvement on the old shed at Rinas that was used before.,tia
This flight was a great flight for me and my family flying to Algeria  arriving to Algiers and departing from there was excellent  i think this airport coming from my preference has a huge potential into being one of the best airports in Africa and globally  its also quite clean and i always see cleaners around mopping the floor  the building was quite modern and huge but there was quite a lack of entertainment for the children.,alg
Good airport  modern  but please be aware that the immigration might take a lot of time for non-Algerians  so be on time on departure!,alg
Incredibly there is no internal connection between the International and the Domestic Terminal. Moreover the passengers must collect their luggage at international and chack in again at Domestic terminal  after a half kilometer walk olong the street.,alg
Inbound flight to ALG on a Saturday so road traffic was light. Immigration is so slow. Arrived at the same time as QR - that was an hour gone. Another 45 minutes for luggage. Could do better! I wonder what the departure process will be like?,alg
This is the best airport in Africa :D ....................................................................................................................................................................................................................................,alg
اللي بلاه ربي يجوزعلى مطار شكوبيستان الدولي ....ً.... ........................................................................................................................................,alg
Excellent very bright  best in north Africa ...nice airport Algiers / Houari Boumediene . très propre  passage rapide au niveau de l'immigration  Bagages en 10 minutes. sans doute le meilleur en afrique du nord.,alg
Excellent: I like this airport. Profissional and kind immigration/customs staff. Quick processing in both ways: no time lost  no long queues  just few minutes to go through all controls. Wifi is available but not for free: WIFI access cards can be purchased from stores inside airport.,alg
